Fiscal Year,Eff. Date,Job Code,Title,Union Code,SetID,Grade,Biweekly Min,Biweekly Max,Extended Range,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20
FY18-19,7/1/2018,140,"Chief of Department, (Fire Department)",352,COMMN,0140P,12574,12574,,157.175,,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,140,"Chief of Department, (Fire Department)",352,Suppression,0140P,12574,12574,,129.0965,,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,150,"Deputy Chief of Department, (Fire Department)",352,COMMN,0150P,10854,10854,,135.675,,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,150,"Deputy Chief of Department, (Fire Department)",352,Suppression,0150P,10854,10854,,111.4374,,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,170,Assistant Law Librarian,220,COMMN,0170P,5000,5000,,62.5,,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,180,Law Librarian,220,COMMN,0180P,6808,6808,,85.0962,,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,190,Bookbinder,221,COMMN,0190P,3293,3293,,41.1625,,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,380,"Inspector, (Police Department)",911,COMMN,0380P,5422,5422,,67.775,,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,381,Inspector II,911,COMMN,0381P,5693,5693,,71.1625,,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,382,Inspector III,911,COMMN,0382P,5802,5802,,72.525,,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,385,Crime Scene Investigations Manager,911,COMMN,0385P,5965,5965,,74.5625,,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,386,Crime Scene Investigations Manager 2,911,COMMN,0386P,6263,6263,,78.2875,,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,387,Crime Scene Investigations Manager 3,911,COMMN,0387P,6383,6383,,79.7875,,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,390,Chief of Police,353,COMMN,0390P,12799,12799,,159.9875,,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,395,Assistant Chief of Police,353,COMMN,0395P,11799,11799,,147.4875,,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,400,Deputy Chief,353,COMMN,0400P,10549,10549,,131.8625,,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,401,Deputy Chief II,353,COMMN,0401P,11076,11076,,138.45,,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,402,Deputy Chief III,353,COMMN,0402P,11287,11287,,141.0875,,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,488,Commander (Police Department),353,COMMN,0488P,8573,8573,,107.1625,,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,489,Commander II,353,COMMN,0489P,9002,9002,,112.525,,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,490,Commander III,353,COMMN,0490P,9173,9173,,114.6625,,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,720,"Member, Board of Supervisors",257,COMMN,0720P,4813,4813,,60.1596,,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,881,Mayoral Staff I,2,COMMN,0881P,1676,2035,,20.95,21.9875,23.075,24.225,25.4375,,,,,,,,,,,,,,,
FY18-19,7/1/2018,882,Mayoral Staff II,2,COMMN,0882P,1801,2189,,22.5125,23.625,24.8125,26.0625,27.3625,,,,,,,,,,,,,,,
FY18-19,7/1/2018,883,Mayoral Staff III,2,COMMN,0883P,1938,2357,,24.225,25.4375,26.7,28.0375,29.4625,,,,,,,,,,,,,,,
FY18-19,7/1/2018,884,Mayoral Staff IV,2,COMMN,0884P,2085,2534,,26.0625,27.3625,28.725,30.15,31.675,,,,,,,,,,,,,,,
FY18-19,7/1/2018,885,Mayoral Staff V,2,COMMN,0885P,2243,2727,,28.0375,29.4625,30.925,32.475,34.0875,,,,,,,,,,,,,,,
